name,combined_features
Pixel Puzzles 2: Space,Casual;Indie;Simulation;Strategy Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud Casual;Indie;Simulation
Home is Where One Starts...,Adventure;Indie Single-player;Steam Achievements;Steam Trading Cards;Captions available;Partial Controller Support Indie;Adventure;Walking Simulator
Dungeon Warfare,Indie;Strategy Single-player;Steam Achievements;Steam Workshop;Steam Cloud;Includes level editor Strategy;Tower Defense;Indie
The Hero of Kendrickstone,Indie;RPG Single-player;Steam Achievements;Captions available;Steam Cloud RPG;Indie;Choose Your Own Adventure
Sheltered,Indie;RPG;Strategy Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards Survival;Post-apocalyptic;Base-Building
Beyond Eyes,Adventure;Indie Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Stats Indie;Walking Simulator;Female Protagonist
Commander Cool 2,Action;Indie Single-player;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards;Includes level editor Action;Indie;Platformer
Machineers - Episode 1: Tivoli Town,Adventure;Indie Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards Puzzle;Adventure;Indie
Fuego!,Casual;Indie;Strategy Single-player;Multi-player;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards Strategy;Indie;Casual
Box Out!,Indie Single-player;Steam Achievements;Full controller support;Steam Leaderboards Indie;Platformer
Heroes of Scene,Free to Play;Indie;Massively Multiplayer;Strategy Single-player;Multi-player;MMO;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards Free to Play;Strategy;Massively Multiplayer
The Emptiness Deluxe Edition,Adventure;Casual Single-player Adventure;Casual;Horror
Tile Rider,Action;Adventure;Indie;Racing Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Stats Action;Racing;Indie
Time Machine VR,Adventure;Indie;Simulation Single-player;Full controller support;VR Support VR;Adventure;Simulation
Middle-earth™: Shadow of War™,Action;Adventure;RPG Single-player;Steam Achievements;Full controller support;Steam Trading Cards;In-App Purchases;Steam Cloud Open World;Action;RPG
Tony Tough and the Night of Roasted Moths,Adventure;Casual Single-player;Steam Cloud Adventure;Casual;Point & Click
Gathering Sky,Adventure;Indie Single-player Indie;Adventure;Casual
Stalingrad,Strategy Single-player;Steam Cloud Strategy;World War II;RTS
Cuban Missile Crisis,Strategy Single-player;Multi-player;Steam Cloud Strategy;RTS;Cold War
Desert Law,RPG;Strategy Single-player;Steam Cloud Strategy;RPG;RTS
Cuban Missile Crisis: Ice Crusade,Strategy Single-player;Multi-player;Steam Cloud Strategy
METAL SLUG DEFENSE,Action;Free to Play Single-player;Multi-player;Steam Achievements;Partial Controller Support;Steam Cloud;Steam Leaderboards Free to Play;Action;Tower Defense
Soccer Manager 2015,Free to Play;Sports Single-player Free to Play;Sports;Soccer
Orbit HD,Adventure;Casual;Indie;Simulation Single-player;Full controller support;Steam Trading Cards Indie;Casual;Adventure
The Slaughter: Act One,Adventure;Indie Single-player;Steam Trading Cards Adventure;Indie;Mystery
Thumper,Action;Indie Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards Rhythm;Indie;Action
Interloper,Indie;Strategy Single-player;Multi-player;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Steam Cloud;Stats;Steam Leaderboards Strategy;Indie;RTS
Chris Sawyer's Locomotion™,Simulation;Strategy Single-player;Multi-player Simulation;Strategy;Trains
Creature Romances: Kokonoe Kokoro,Sexual Content;Nudity;Gore;Casual;Indie Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud Indie;Sexual Content;Casual
Drive!Drive!Drive!,Action;Indie;Racing Single-player;Multi-player;Online Multi-Player;Cross-Platform Multiplayer;Steam Achievements;Full controller support;Steam Leaderboards;Includes level editor Action;Racing;Indie
STAR WARS™ Galactic Battlegrounds Saga,Action;Strategy Single-player;Local Multi-Player;Steam Cloud Strategy;RTS;Star Wars
Soccer Rage,Action;Indie;Sports;Early Access Single-player;Multi-player;Steam Achievements;Full controller support;Steam Leaderboards Early Access;Sports;Action
Port of Call,Adventure;Indie Single-player;Steam Achievements;Partial Controller Support Indie;Adventure;Free to Play
The Confines Of The Crown,Adventure;Indie Single-player;Steam Achievements;Full controller support;Steam Trading Cards Visual Novel;Female Protagonist;Otome
East Tower - Takashi (East Tower Series Vol. 2),Adventure;Casual;Indie;Simulation Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud Adventure;Indie;Casual
East Tower - Kuon (East Tower Series Vol. 3),Adventure;Casual;Indie;Simulation Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud Indie;Adventure;Casual
East Tower - Kurenai (East Tower Series Vol. 4),Adventure;Casual;Indie;Simulation Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud Adventure;Indie;Casual
Party Hard,Action;Indie;Strategy Single-player;Local Co-op;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards Pixel Graphics;Stealth;Strategy
Aerannis,Action;Indie Single-player;Full controller support Female Protagonist;Stealth;Indie
Death's Gambit,Action;Adventure;Indie;RPG Single-player;Steam Achievements;Full controller support;Steam Trading Cards Souls-like;Pixel Graphics;Metroidvania
Spooky's Jump Scare Mansion,Action;Adventure;Free to Play;Indie Single-player Horror;Free to Play;Cute
Band of Drones,Indie;Strategy Single-player;Shared/Split Screen;Steam Cloud Strategy;Indie;Turn-Based Tactics
The Hole Story,Adventure;Casual;Indie;RPG Single-player;Steam Achievements;Full controller support;Steam Trading Cards Adventure;Indie;Casual
Astronaut Simulator,Adventure;Indie;Simulation Single-player;Full controller support;VR Support Simulation;Adventure;Indie
Galacide,Action;Indie Single-player;Local Multi-Player;Local Co-op;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards Shoot 'Em Up;Action;Indie
Choice of the Petal Throne,Indie;RPG Single-player;Steam Achievements;Captions available;Steam Cloud RPG;Indie;Text-Based
Eron,Indie Single-player;Partial Controller Support Indie;Platformer;Pixel Graphics
One More Line,Action;Casual;Indie Single-player;Multi-player;Shared/Split Screen;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Leaderboards Indie;Casual;Action
Battle Fantasia -Revised Edition-,Action Single-player;Multi-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud;Steam Leaderboards Fighting;2D Fighter;Action
The Collider 2,Action;Casual;Racing Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Stats;Steam Leaderboards Action;Racing;Casual
Excubitor,Action;Strategy Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards Action;Shoot 'Em Up;Strategy
UBERMOSH,Action;Indie Single-player;Steam Achievements;Full controller support;Steam Trading Cards Action;Great Soundtrack;Pixel Graphics
Big Action Mega Fight!,Action;Indie Single-player;Steam Achievements;Full controller support;Steam Trading Cards Indie;Action;Beat 'em up
ULTIMATE MARVEL VS. CAPCOM 3,Action Single-player;Multi-player;Online Multi-Player;Local Multi-Player;Steam Achievements;Full controller support;Steam Cloud;Steam Leaderboards Fighting;Action;2D Fighter
500 Years Act 1,Adventure;Indie;RPG Single-player;Steam Achievements;Full controller support;Steam Trading Cards Adventure;RPG;Indie
Red Lake,Action;Adventure;Indie Single-player;Steam Trading Cards Indie;Action;Adventure
Snakebird,Indie Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud Puzzle;Difficult;Indie
Oriental Empires,Indie;Simulation;Strategy Single-player;Multi-player;Online Multi-Player;Online Co-op;Steam Achievements;Steam Trading Cards;Steam Workshop Strategy;Simulation;Historical
Break_In,Action;Massively Multiplayer;Strategy;Early Access Multi-player;Steam Achievements;Steam Trading Cards Early Access;Action;Massively Multiplayer
Space Beast Terror Fright,Action;Indie;Early Access Single-player;Multi-player;Online Multi-Player;Local Multi-Player;Co-op;Online Co-op;Local Co-op;Shared/Split Screen;Full controller support;Steam Leaderboards Early Access;Action;Indie
Cobalt,Action;Adventure;Indie Single-player;Multi-player;Co-op;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Workshop;Steam Cloud;Steam Leaderboards;Includes level editor Action;Adventure;Indie
Return NULL - Episode 1,Indie Single-player;Steam Trading Cards Interactive Fiction;Indie;Great Soundtrack
Astroloco: Worst Contact,Adventure;Indie Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud;Commentary available Adventure;Indie;Point & Click
Rumble Fighter: Unleashed,Action;Free to Play Single-player;Multi-player;Online Multi-Player;In-App Purchases Free to Play;Action;Fighting
Unium,Casual;Indie;Strategy Single-player;Steam Achievements;Steam Trading Cards;Steam Workshop;Steam Cloud;Includes level editor Casual;Indie;Strategy
Project Explore,Action;Adventure;Casual;Indie;Simulation Single-player;Multi-player;Online Multi-Player;Co-op;Online Co-op;Cross-Platform Multiplayer;Steam Trading Cards Survival;Adventure;Indie
Home Improvisation: Furniture Sandbox,Casual;Indie;Simulation Single-player;Multi-player;Online Multi-Player;Local Multi-Player;Co-op;Online Co-op;Local Co-op;Shared/Split Screen;Cross-Platform Multiplayer;Steam Achievements;Full controller support;Steam Workshop;Steam Cloud Simulation;Indie;Casual
APT,Action;Indie;Strategy Single-player;Steam Achievements;Steam Trading Cards;Captions available;Steam Leaderboards Action;Indie;Strategy
Rogue Continuum,Action;Indie;Strategy Single-player;Co-op;Online Co-op;Local Co-op;Shared/Split Screen;Partial Controller Support Action;Indie;Strategy
Inside My Radio,Action;Casual;Indie Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud Indie;Casual;Action
Damn virgins,Action;Adventure;Indie Single-player;Steam Achievements Action;Adventure;Indie
The District,Action;Adventure;Indie Single-player;Steam Trading Cards;Partial Controller Support Survival;Indie;Adventure
Defend Your Life: TD,Action;Casual;Indie;Strategy Single-player;Steam Achievements;Steam Trading Cards Tower Defense;Casual;Strategy
Attack of the Labyrinth +,Action;Indie Single-player;Shared/Split Screen;Steam Achievements;Full controller support Action;Indie;Arcade
Zombie Camp: Last Survivor,Action Single-player;Steam Achievements;Partial Controller Support;Steam Leaderboards Action;Zombies
Vortex Attack: ボルテックスアタック,Action;Indie Single-player;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Captions available;Steam Leaderboards Indie;Action;Shoot 'Em Up
Make it indie!,Adventure;Indie;Simulation Single-player;Steam Achievements;Steam Trading Cards;Steam Leaderboards Indie;Simulation;Adventure
QuestEvent,Action;Adventure;Casual;Indie;RPG;Strategy Single-player RPGMaker;RPG;Indie
Final Strike,Action;Indie;Simulation;Early Access Single-player;VR Support Early Access;Action;Indie
R.O.O.T.S,Casual;Indie;Strategy Single-player Strategy;Indie;Casual
Telepath Tactics,Indie;RPG;Strategy Single-player;Shared/Split Screen;Includes level editor Strategy;RPG;Indie
The Curse of Nordic Cove,Action;Adventure;Indie Single-player;Partial Controller Support Action;Indie;Adventure
Another Star,Indie;RPG Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud RPG;Indie;Retro
Earthtongue,Indie;Simulation Single-player;Steam Achievements;Steam Trading Cards Simulation;Indie;Relaxing
No Turning Back: The Pixel Art Action-Adventure Roguelike,Action;Adventure;Indie;RPG;Early Access Single-player;Steam Achievements;Steam Trading Cards Early Access;Action;Indie
D4: Dark Dreams Don’t Die -Season One-,Adventure;Casual;Indie Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud Adventure;Story Rich;Great Soundtrack
Curious Expedition,Adventure;Indie;RPG;Simulation;Strategy Single-player;Steam Achievements;Steam Trading Cards;Steam Workshop;Steam Cloud Adventure;Pixel Graphics;Rogue-like
Blake Stone: Aliens of Gold,Action Single-player;Partial Controller Support Action;FPS;Classic
Math Rescue,Adventure Single-player;Partial Controller Support Adventure;Education;Platformer
Monster Bash,Action Single-player;Partial Controller Support Action;1990's;Platformer
Mystic Towers,Action;Adventure Single-player;Partial Controller Support Action;Adventure;Retro
Paganitzu,Action;Adventure Single-player;Partial Controller Support Action;Adventure;Puzzle
Cosmo's Cosmic Adventure,Action;Adventure Single-player;Partial Controller Support Action;Adventure;Platformer
Crystal Caves,Action Single-player;Partial Controller Support Action;Classic;Platformer
Death Rally (Classic),Racing Single-player;Partial Controller Support Racing;Classic;Retro
Hocus Pocus,Action;Adventure Single-player;Partial Controller Support Action;Adventure;Platformer
Major Stryker,Action Single-player;Partial Controller Support Action;Shoot 'Em Up;Classic
Blake Stone: Planet Strike,Action Single-player;Partial Controller Support Action;FPS;Classic
Realms of Chaos,Action;Adventure Single-player;Partial Controller Support Action;Adventure;Platformer
Word Rescue,Action;Adventure Single-player;Partial Controller Support Action;Adventure;Education
Secret Agent,Action Single-player;Partial Controller Support Action;Platformer;Classic
Raptor: Call of the Shadows (1994 Classic Edition),Action Single-player;Partial Controller Support Action;Shoot 'Em Up;Classic
Terminal Velocity,Action Single-player;Partial Controller Support Action;1990's;Shooter
Wacky Wheels,Action;Racing Partial Controller Support Racing;Action;Classic
Stargunner,Action;Free to Play Single-player;Partial Controller Support Action;Free to Play;Shoot 'Em Up
Rise of the Triad: Dark War,Action Single-player;Partial Controller Support Action;FPS;Classic
Talisman: The Horus Heresy,Strategy Single-player;Multi-player;Co-op;Steam Achievements;Steam Trading Cards;Steam Cloud;Steam Leaderboards Strategy;Warhammer 40K;Games Workshop
Exowar,Action;Casual;Indie Single-player;Includes level editor Action;Indie;Casual
Gryphon Knight Epic,Action;Indie Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Stats;Steam Leaderboards Indie;Shoot 'Em Up;Action
3d Bridges,Simulation Single-player Simulation;Building;Physics
Sunrider: Liberation Day - Captain's Edition,Sexual Content;Nudity;Indie;RPG;Simulation;Strategy Single-player;Steam Achievements;Steam Trading Cards Visual Novel;Strategy;Anime
Selenon Rising,Adventure;Casual;Indie Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support Indie;Adventure;Casual
